experiment,run_id,step,states,rooms,objects
accel_full-i,4bkk4yux,1310,5.110909,5.574719,15.718638
accel_full-i,4bkk4yux,1410,5.0354166,5.5398045,15.4569435
accel_full-i,4bkk4yux,1510,4.947053,5.6901293,15.566477
accel_full-i,4bkk4yux,1610,5.1842074,5.55688,15.143469
accel_full-i,4bkk4yux,1710,5.113076,5.684202,15.280769
accel_full-i,4bkk4yux,1810,5.2232366,5.538758,15.625807
accel_full-i,4bkk4yux,1910,5.150136,5.58597,15.3810215
accel_full-i,4bkk4yux,2000,5.2890263,5.5893955,15.055703
accel_full-i,y5mcjizp,10,3.3346612,2.6973171,6.902766
accel_full-i,y5mcjizp,110,3.4569328,4.546058,10.944654
accel_full-i,y5mcjizp,210,4.229165,4.729263,11.20454
accel_full-i,y5mcjizp,310,4.2095003,5.0432396,11.852066
accel_full-i,y5mcjizp,410,4.334079,5.214766,12.755432
accel_full-i,y5mcjizp,510,4.4638844,5.3827763,13.587283
accel_full-i,y5mcjizp,610,4.729205,5.336194,15.007017
accel_full-i,y5mcjizp,710,4.9427614,5.5044727,14.526127
accel_full-i,y5mcjizp,810,4.9628716,5.3678694,14.761854
accel_full-i,y5mcjizp,910,5.0299926,5.539996,14.664324
accel_full-i,y5mcjizp,1010,4.9486704,5.488454,14.828333
accel_full-i,y5mcjizp,1110,5.196297,5.3199825,15.025032
accel_full-i,y5mcjizp,1210,5.1940975,5.3668637,15.337322
accel_full-i,y5mcjizp,1310,5.2030144,5.400138,15.761021
accel_full-i,y5mcjizp,1410,5.2485743,5.392291,15.413565
accel_full-i,y5mcjizp,1510,5.274029,5.539153,15.329622
accel_full-i,y5mcjizp,1610,5.265937,5.5847354,15.595796
accel_full-i,y5mcjizp,1710,5.2477765,5.637087,14.873821
accel_full-i,y5mcjizp,1810,5.250887,5.639759,14.953932
accel_full-i,y5mcjizp,1910,5.283811,5.52929,15.189128
accel_full-i,y5mcjizp,2000,5.2851524,5.6639366,15.208993
accel_full-c,54s9hpei,10,3.187115,1.901233,5.141612
accel_full-c,54s9hpei,110,4.313582,4.291922,10.559671
accel_full-c,54s9hpei,210,4.4104977,4.5734854,11.554453
accel_full-c,54s9hpei,310,4.8367896,4.8134003,11.935981
accel_full-c,54s9hpei,410,4.9512024,4.7996473,12.520091
accel_full-c,54s9hpei,510,5.011051,4.964839,12.998008
accel_full-c,54s9hpei,610,5.080761,5.3164797,13.831369
accel_full-c,54s9hpei,710,5.1376243,5.4442554,14.151578
accel_full-c,54s9hpei,810,5.2053804,5.4916763,14.894969
accel_full-c,54s9hpei,910,5.2049847,5.2331057,14.029616
accel_full-c,54s9hpei,1010,5.2860622,5.182377,13.8986025
accel_full-c,54s9hpei,1110,5.2130094,5.51558,14.199259
accel_full-c,54s9hpei,1210,5.260725,5.511304,13.999107
accel_full-c,54s9hpei,1310,5.2551527,5.586298,14.38991
accel_full-c,54s9hpei,1410,5.2215595,5.5640163,14.4350605
accel_full-c,54s9hpei,1510,5.318209,5.5924115,14.189484
accel_full-c,54s9hpei,1610,5.274598,5.6282644,14.486675
accel_full-c,54s9hpei,1710,5.2776804,5.6361217,14.62789
accel_full-c,54s9hpei,1810,5.324759,5.653118,14.895811
accel_full-c,54s9hpei,1910,5.277826,5.505701,15.076311
accel_full-c,54s9hpei,2000,5.2855034,5.6899614,16.295635
accel_full-c,bzhvspk0,10,3.8896713,1.8705919,4.6722536
accel_full-c,bzhvspk0,110,4.4012156,4.115508,9.778933
accel_full-c,bzhvspk0,210,4.719826,4.3545837,11.166349
accel_full-c,bzhvspk0,310,4.854703,4.9827833,12.843156
accel_full-c,bzhvspk0,410,5.0018163,4.9881763,13.908374
accel_full-c,bzhvspk0,510,5.135527,5.178012,13.727607
accel_full-c,bzhvspk0,610,5.1528153,5.3057947,14.232806
accel_full-c,bzhvspk0,710,5.1285563,5.465611,14.5643635
accel_full-c,bzhvspk0,810,5.0718985,5.4531536,14.66306
accel_full-c,bzhvspk0,910,5.0271583,5.448244,14.5232725
accel_full-c,bzhvspk0,1010,5.0687613,5.210542,14.689129
accel_full-c,bzhvspk0,1110,5.253949,5.179516,14.571621
accel_full-c,bzhvspk0,1210,5.242631,5.4901166,15.070152
accel_full-c,bzhvspk0,1310,5.2618847,5.39332,15.093244
accel_full-c,bzhvspk0,1410,5.1787615,5.624352,14.540512
accel_full-c,bzhvspk0,1510,5.1798105,5.598204,15.6093
accel_full-c,bzhvspk0,1610,5.277918,5.4836226,15.384525
accel_full-c,bzhvspk0,1710,5.202503,5.653981,15.337162
accel_full-c,bzhvspk0,1810,5.19188,5.4635544,15.083217
accel_full-c,bzhvspk0,1910,5.285104,5.6669226,15.464907
accel_full-c,bzhvspk0,2000,5.2378397,5.6015,15.428717
accel_full-c,zfijviyq,10,3.173502,2.958989,6.514483
accel_full-c,zfijviyq,110,4.4949193,4.280718,9.97099
accel_full-c,zfijviyq,210,4.553139,4.7098737,11.685058
accel_full-c,zfijviyq,310,4.927118,4.9711866,12.884573
accel_full-c,zfijviyq,410,5.0664344,5.0769386,13.379282
accel_full-c,zfijviyq,510,5.101313,5.2794785,13.979584
accel_full-c,zfijviyq,610,5.1559978,5.2232103,15.215892
accel_full-c,zfijviyq,710,5.254247,5.1602507,14.769359
accel_full-c,zfijviyq,810,5.195202,5.391956,14.792664
accel_full-c,zfijviyq,910,5.29016,5.4208517,14.775889
accel_full-c,zfijviyq,1010,5.1727242,5.421115,14.467049
accel_full-c,zfijviyq,1110,5.1936655,5.531642,14.776253
accel_full-c,zfijviyq,1210,5.1877003,5.509941,15.06575
accel_full-c,zfijviyq,1310,5.0907626,5.5319347,15.291556
accel_full-c,zfijviyq,1410,5.1523657,5.528651,15.864948
accel_full-c,zfijviyq,1510,5.20228,5.615097,15.228281
accel_full-c,zfijviyq,1610,5.1918797,5.5909595,16.09256
accel_full-c,zfijviyq,1710,5.2395697,5.507331,15.893904
accel_full-c,zfijviyq,1810,5.2045326,5.6455874,16.078142
accel_full-c,zfijviyq,1910,5.1536283,5.616804,15.610394
accel_full-c,zfijviyq,2000,5.051053,5.650153,15.418924
accel_full-c,gzeu8n2g,10,3.2965367,2.509797,6.239311
accel_full-c,gzeu8n2g,110,4.101013,4.013474,9.580238
accel_full-c,gzeu8n2g,210,4.611026,4.6835003,11.335857
accel_full-c,gzeu8n2g,310,4.8471694,4.8653417,12.575319
accel_full-c,gzeu8n2g,410,5.0148983,5.0985856,13.451055
accel_full-c,gzeu8n2g,510,5.010044,5.0470824,13.650326
accel_full-c,gzeu8n2g,610,5.1076207,5.2694845,14.787644
accel_full-c,gzeu8n2g,710,5.182286,5.329034,15.160937
accel_full-c,gzeu8n2g,810,5.2630587,5.397867,14.8449
accel_full-c,gzeu8n2g,910,5.277897,5.441747,15.38056
accel_full-c,gzeu8n2g,1010,5.264471,5.553818,15.655176
accel_full-c,gzeu8n2g,1110,5.2223854,5.546044,15.621009
accel_full-c,gzeu8n2g,1210,5.2566805,5.4900703,15.22509
accel_full-c,gzeu8n2g,1310,5.330431,5.623766,15.515168
accel_full-c,gzeu8n2g,1410,5.3155394,5.595806,15.708527
accel_full-c,gzeu8n2g,1510,5.271535,5.546758,15.528186
accel_full-c,gzeu8n2g,1610,5.287621,5.5791397,14.922148
accel_full-c,gzeu8n2g,1710,5.322125,5.5617914,15.59531
accel_full-c,gzeu8n2g,1810,5.3356485,5.4804134,15.608776
accel_full-c,gzeu8n2g,1910,5.367715,5.640857,15.55388
accel_full-c,gzeu8n2g,2000,5.338176,5.6401443,15.451011
accel_full-c,7iy095xl,10,4.257805,1.7389879,4.1282587
accel_full-c,7iy095xl,110,4.4954677,4.0725684,10.2914715
accel_full-c,7iy095xl,210,4.927183,4.602091,11.541141
accel_full-c,7iy095xl,310,4.893551,5.027164,13.079664
accel_full-c,7iy095xl,410,4.9107943,5.14505,13.243386
accel_full-c,7iy095xl,510,4.9664564,5.1612744,14.405229
accel_full-c,7iy095xl,610,4.8076935,5.2651143,14.16153
accel_full-c,7iy095xl,710,4.901416,5.033477,14.316143
accel_full-c,7iy095xl,810,5.0190516,5.3222017,14.810295
accel_full-c,7iy095xl,910,4.9036794,5.3939734,14.857254
accel_full-c,7iy095xl,1010,5.008227,5.4832773,15.269643
accel_full-c,7iy095xl,1110,5.0231123,5.381809,14.852253
accel_full-c,7iy095xl,1210,5.1411104,5.4484205,14.833614
accel_full-c,7iy095xl,1310,5.172375,5.514475,15.052587
accel_full-c,7iy095xl,1410,5.184045,5.55818,15.141045
accel_full-c,7iy095xl,1510,5.176032,5.38492,14.432638
accel_full-c,7iy095xl,1610,5.3113036,5.4418154,14.620059
accel_full-c,7iy095xl,1710,5.229635,5.461953,14.764547
accel_full-c,7iy095xl,1810,5.247122,5.5866947,14.9181795
accel_full-c,7iy095xl,1910,5.2975297,5.352909,14.299152
accel_full-c,7iy095xl,2000,5.287759,5.255824,15.03381
accel_scratch-i,ixyglfmw,10,2.0304334,1.1593856,1.5142193
accel_scratch-i,ixyglfmw,110,3.051638,4.16586,8.163937
accel_scratch-i,ixyglfmw,210,4.023958,4.465773,11.123697
accel_scratch-i,ixyglfmw,310,4.3564844,4.8432198,12.232262
accel_scratch-i,ixyglfmw,410,4.41309,5.1397486,13.074928
accel_scratch-i,ixyglfmw,510,4.6283455,5.2188096,13.40247
